#,Position,Player,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
1,F,Luc Mbah a Moute,Houston Rockets,51,3.1%,0.2,0.4,1.5,0,0.1,0.1,100%,100%,33.3%,41.7%,41.7%,66.7%
2,G,Malcolm Brogdon,Milwaukee Bucks,46,5.4%,0.7,1,1.406,0.2,0.4,0.6,64.3%,73.2%,3.1%,9.4%,9.4%,65.6%
3,F,Mike Scott,Washington Wizards,64,2.7%,0.2,0.3,1.357,0.1,0.1,0.2,64.3%,64.3%,0%,7.1%,7.1%,64.3%
4,G,Patty Mills,San Antonio Spurs,69,2.7%,0.3,0.3,1.333,0.1,0.1,0.2,66.7%,73.3%,11.1%,5.6%,5.6%,61.1%
5,G,Tyrone Wallace,Los Angeles Clippers,21,5.4%,0.6,0.8,1.333,<0.1,0.4,0.4,88.9%,88.9%,25%,0%,0%,66.7%
6,F,Michael Kidd-Gilchrist,Charlotte Hornets,61,3.3%,0.3,0.4,1.316,0.1,0.1,0.2,69.2%,69.2%,5.3%,26.3%,26.3%,73.7%
7,G,C.J. Williams,Los Angeles Clippers,30,5.3%,0.3,0.4,1.3,0.1,0.2,0.3,62.5%,68.8%,10%,10%,10%,60%
8,F,Montrezl Harrell,Los Angeles Clippers,61,1.9%,0.2,0.2,1.3,0.1,0.1,0.2,60%,60%,0%,20%,20%,60%
9,C,Brook Lopez,Los Angeles Lakers,60,2.3%,0.3,0.4,1.278,0.1,0.2,0.3,60%,63.3%,5.6%,16.7%,11.1%,61.1%
10,G,James Harden,Houston Rockets,60,33.5%,9.6,11.9,1.24,4.1,3.4,7.5,45%,56.8%,5%,20%,18.2%,51.6%
11,,Jameer Nelson,New Orleans Pelicans,43,6.3%,0.4,0.5,1.235,0.2,0.2,0.4,50%,59.4%,0%,5.9%,0%,52.9%
12,G,Tim Frazier,Washington Wizards,52,8%,0.3,0.4,1.222,0.1,0.1,0.3,46.2%,53.8%,5.6%,27.8%,22.2%,55.6%
13,C-F,Nikola Jokic,Denver Nuggets,62,3.7%,0.6,0.8,1.205,0.2,0.2,0.4,55.6%,64.8%,15.4%,17.9%,7.7%,53.8%
14,,Isaiah Canaan,Phoenix Suns,19,10.6%,1.1,1.3,1.2,0.4,0.4,0.8,53.3%,56.7%,5%,20%,20%,60%
15,F,Taj Gibson,Minnesota Timberwolves,69,1.3%,0.1,0.2,1.2,<0.1,0.1,0.1,66.7%,66.7%,10%,0%,0%,60%
16,G,Elfrid Payton,Orlando Magic,44,5%,0.7,0.8,1.194,0.2,0.4,0.5,66.7%,66.7%,16.1%,9.7%,9.7%,58.1%
17,G,Michael Carter-Williams,Charlotte Hornets,52,7.1%,0.4,0.5,1.174,0.1,0.1,0.3,50%,53.6%,8.7%,30.4%,30.4%,60.9%
18,G,Milos Teodosic,Los Angeles Clippers,38,3%,0.3,0.4,1.167,0.2,0.1,0.3,40%,60%,8.3%,8.3%,8.3%,41.7%
19,F,Kyle Kuzma,Los Angeles Lakers,66,6.1%,1,1.1,1.156,0.4,0.4,0.8,48.1%,56.5%,6.3%,10.9%,10.9%,50%
20,G,Justin Holiday,Chicago Bulls,59,1.6%,0.2,0.3,1.154,0.1,0.1,0.2,50%,55%,7.7%,15.4%,7.7%,53.8%
21,C,Jonas Valanciunas,Toronto Raptors,64,2.7%,0.3,0.4,1.15,0.1,0.2,0.3,64.7%,67.6%,15%,0%,0%,55%
22,C,Karl-Anthony Towns,Minnesota Timberwolves,69,4.1%,0.7,0.8,1.14,0.3,0.3,0.5,51.4%,52.7%,10%,22%,22%,54%
23,G,Kyle Lowry,Toronto Raptors,65,6.4%,1,1.2,1.136,0.4,0.3,0.8,42.9%,56.1%,10.6%,18.2%,18.2%,47%
24,G,Dwight Buycks,Detroit Pistons,25,12.4%,1.2,1.4,1.133,0.6,0.5,1,46.2%,53.8%,3.3%,10%,10%,50%
25,G,Chris Paul,Houston Rockets,50,29%,5.1,5.6,1.102,2.6,2,4.6,43.5%,53.9%,4.3%,7.1%,5.9%,44.5%
26,G,Patrick Beverly,Los Angeles Clippers,11,6.6%,0.9,1,1.1,0.4,0.5,0.8,55.6%,61.1%,10%,0%,0%,50%
27,G,Garrett Temple,Sacramento Kings,62,6.2%,0.6,0.6,1.086,0.2,0.2,0.4,46.2%,53.8%,8.6%,20%,17.1%,51.4%
28,C-F,Al Horford,Boston Celtics,61,3.3%,0.4,0.5,1.077,0.2,0.2,0.4,47.8%,50%,0%,11.5%,7.7%,53.8%
29,G,Rajon Rondo,New Orleans Pelicans,54,5.5%,0.5,0.6,1.069,0.3,0.2,0.5,48.1%,55.6%,3.4%,3.4%,3.4%,48.3%
30,G,Darren Collison,Indiana Pacers,55,7%,0.8,0.9,1.067,0.4,0.4,0.8,47.6%,48.8%,0%,8.9%,8.9%,51.1%
31,F-C,Myles Turner,Indiana Pacers,52,2.7%,0.3,0.4,1.056,0.1,0.2,0.3,56.3%,56.3%,5.6%,11.1%,11.1%,55.6%
32,F-C,Nene Hilario,Houston Rockets,47,6.4%,0.4,0.4,1.053,0.1,0.1,0.3,53.8%,53.8%,10.5%,21.1%,15.8%,57.9%
33,G,Stephen Curry,Golden State Warriors,50,7%,1.6,1.6,1.051,0.6,0.6,1.2,51.6%,59.7%,12.8%,6.4%,5.1%,47.4%
34,G,Dennis Schroder,Atlanta Hawks,64,14.8%,3.1,3.3,1.05,1.3,1.2,2.5,47.2%,50.9%,7.5%,14.4%,13.4%,49.3%
35,F-C,Serge Ibaka,Toronto Raptors,63,5.4%,0.7,0.7,1.049,0.3,0.3,0.6,51.4%,52.7%,4.9%,9.8%,7.3%,51.2%
36,G,Delon Wright,Toronto Raptors,55,5.4%,0.4,0.5,1.042,0.2,0.2,0.3,47.4%,55.3%,8.3%,12.5%,12.5%,50%
37,G,Eric Bledsoe,Milwaukee Bucks,57,7%,1.3,1.4,1.041,0.6,0.5,1.1,44.3%,48.4%,6.8%,16.2%,13.5%,48.6%
38,G,Damian Lillard,Portland Trail Blazers,61,15.4%,3.9,4,1.038,1.7,1.2,2.9,41.1%,46%,8.1%,20%,17.9%,48.1%
39,G,Kyrie Irving,Boston Celtics,59,16%,3.6,3.7,1.038,1.7,1.4,3.1,44%,50.3%,4.8%,9.5%,8.6%,46.2%
40,F,Kevin Durant,Golden State Warriors,60,15.3%,3.6,3.7,1.037,1.7,1.3,3,44.2%,49.4%,6.5%,12%,10.6%,46.3%
41,G,Shaun Livingston,Golden State Warriors,60,8.1%,0.5,0.5,1.036,0.2,0.2,0.4,45.8%,45.8%,0%,14.3%,14.3%,53.6%
42,F,Zach Randolph,Sacramento Kings,58,10.8%,1.7,1.7,1.031,0.7,0.8,1.5,50.6%,50.6%,5.1%,9.2%,9.2%,51%
43,F,Dario Saric,Philadelphia 76ers,66,3.4%,0.5,0.5,1.03,0.2,0.2,0.5,46.7%,46.7%,3%,12.1%,12.1%,48.5%
44,G,Tyreke Evans,Memphis Grizzlies,50,14.2%,2.8,2.8,1.029,1.4,1,2.4,42.5%,49.6%,5.1%,10.9%,10.9%,44.9%
45,G-F,Rudy Gay,San Antonio Spurs,44,14.4%,1.7,1.7,1.027,0.8,0.7,1.4,47.6%,47.6%,5.4%,14.9%,14.9%,50%
46,G,Austin Rivers,Los Angeles Clippers,47,22.8%,3.7,3.8,1.023,1.9,1.4,3.3,42.6%,50.6%,4%,9.2%,8%,44.8%
47,G,Ricky Rubio,Utah Jazz,65,4.7%,0.7,0.7,1.022,0.3,0.2,0.5,44.1%,48.5%,11.1%,20%,20%,46.7%
48,G,Lou Williams,Los Angeles Clippers,66,8.5%,1.9,1.9,1.016,0.8,0.6,1.4,42.4%,48.9%,11.1%,16.7%,14.3%,46.8%
49,G-F,Rodney Hood,Utah Jazz,39,9.8%,1.6,1.7,1.016,0.8,0.6,1.4,42.6%,50%,6.3%,10.9%,9.4%,43.8%
50,G,Terry Rozier III,Boston Celtics,67,9.4%,1,1,1.014,0.5,0.4,0.9,41.9%,50%,5.8%,7.2%,5.8%,42%
51,G-F,Danny Green,San Antonio Spurs,57,2.1%,0.2,0.2,1,0.1,0.1,0.2,45.5%,45.5%,0%,9.1%,9.1%,45.5%
52,G,Devin Harris,Dallas Mavericks,44,3.2%,0.3,0.3,1,0.1,<0.1,0.2,25%,25%,8.3%,25%,25%,41.7%
53,G,Evan Fournier,Orlando Magic,57,3.9%,0.7,0.7,1,0.3,0.2,0.5,46.4%,50%,13.2%,13.2%,7.9%,47.4%
54,G,George Hill,Sacramento Kings,43,7%,0.7,0.7,1,0.3,0.3,0.5,52.2%,56.5%,13.3%,13.3%,10%,50%
55,F-G,Iman Shumpert,Cleveland Cavaliers,14,22.8%,1.3,1.3,1,0.5,0.5,1,50%,57.1%,11.1%,11.1%,5.6%,50%
56,G,Jeff Teague,Minnesota Timberwolves,58,14.6%,2.2,2.2,1,1,0.8,1.9,44.4%,50.5%,6.3%,10.2%,9.4%,46.5%
57,G,Mike James,Phoenix Suns,32,11.5%,1.4,1.4,1,0.7,0.3,1,30.3%,36.4%,2.2%,30.4%,30.4%,47.8%
58,G,Nick Young,Golden State Warriors,66,3.7%,0.2,0.2,1,0.1,0.1,0.2,46.2%,53.8%,13.3%,6.7%,6.7%,40%
59,C,Robin Lopez,Chicago Bulls,61,1.3%,0.2,0.2,1,0.1,0.1,0.2,50%,50%,0%,0%,0%,50%
60,F,Sam Dekker,Los Angeles Clippers,60,4.8%,0.2,0.2,1,0.1,0.1,0.2,44.4%,50%,15.4%,15.4%,15.4%,46.2%
61,,Tobias Harris,Los Angeles Clippers,17,15.1%,2.9,2.9,1,1.4,1.2,2.6,47.7%,52.3%,6.1%,6.1%,6.1%,46.9%
62,G,CJ McCollum,Portland Trail Blazers,67,12.7%,2.8,2.7,0.995,1.3,1,2.2,43.3%,47.7%,8.1%,12.4%,11.9%,45.9%
63,G,DeMar DeRozan,Toronto Raptors,68,12.5%,2.9,2.8,0.99,1.4,1,2.4,42.9%,44.7%,5.1%,16.4%,15.4%,47.2%
64,G,Jordan  Clarkson,Los Angeles Lakers,53,9.2%,1.4,1.4,0.986,0.6,0.5,1.1,49.2%,50.8%,13.5%,13.5%,13.5%,45.9%
65,G,Jrue Holiday,New Orleans Pelicans,68,11.3%,2.2,2.1,0.986,1.1,0.9,1.9,44.7%,49.2%,6.1%,8.8%,8.1%,44.6%
66,G,Victor Oladipo,Indiana Pacers,62,9.1%,2.1,2.1,0.985,1,0.7,1.7,42.9%,48.1%,6.1%,13.6%,12.1%,47.7%
67,G,Ish Smith,Detroit Pistons,68,7.6%,0.9,0.9,0.984,0.4,0.4,0.8,50.9%,50.9%,6.6%,9.8%,9.8%,49.2%
68,G,De Aaron Fox,Sacramento Kings,60,6.3%,0.9,0.9,0.981,0.4,0.3,0.8,44.4%,48.9%,7.4%,13%,13%,46.3%
69,G,Bogdan Bogdanovic,Sacramento Kings,66,5.5%,0.7,0.6,0.977,0.3,0.2,0.5,40%,48.6%,7%,11.6%,4.7%,44.2%
