#,Position,Player,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
1,G,James Harden,Houston Rockets,60,33.5%,9.6,11.9,1.24,4.1,3.4,7.5,45%,56.8%,5%,20%,18.2%,51.6%
2,G,Chris Paul,Houston Rockets,50,29%,5.1,5.6,1.102,2.6,2,4.6,43.5%,53.9%,4.3%,7.1%,5.9%,44.5%
3,G,Dennis Schroder,Atlanta Hawks,64,14.8%,3.1,3.3,1.05,1.3,1.2,2.5,47.2%,50.9%,7.5%,14.4%,13.4%,49.3%
4,G,Damian Lillard,Portland Trail Blazers,61,15.4%,3.9,4,1.038,1.7,1.2,2.9,41.1%,46%,8.1%,20%,17.9%,48.1%
5,G,Kyrie Irving,Boston Celtics,59,16%,3.6,3.7,1.038,1.7,1.4,3.1,44%,50.3%,4.8%,9.5%,8.6%,46.2%
6,F,Kevin Durant,Golden State Warriors,60,15.3%,3.6,3.7,1.037,1.7,1.3,3,44.2%,49.4%,6.5%,12%,10.6%,46.3%
7,G,Tyreke Evans,Memphis Grizzlies,50,14.2%,2.8,2.8,1.029,1.4,1,2.4,42.5%,49.6%,5.1%,10.9%,10.9%,44.9%
8,G,Austin Rivers,Los Angeles Clippers,47,22.8%,3.7,3.8,1.023,1.9,1.4,3.3,42.6%,50.6%,4%,9.2%,8%,44.8%
9,G,Lou Williams,Los Angeles Clippers,66,8.5%,1.9,1.9,1.016,0.8,0.6,1.4,42.4%,48.9%,11.1%,16.7%,14.3%,46.8%
10,G,Jeff Teague,Minnesota Timberwolves,58,14.6%,2.2,2.2,1,1,0.8,1.9,44.4%,50.5%,6.3%,10.2%,9.4%,46.5%
11,G,CJ McCollum,Portland Trail Blazers,67,12.7%,2.8,2.7,0.995,1.3,1,2.2,43.3%,47.7%,8.1%,12.4%,11.9%,45.9%
12,G,DeMar DeRozan,Toronto Raptors,68,12.5%,2.9,2.8,0.99,1.4,1,2.4,42.9%,44.7%,5.1%,16.4%,15.4%,47.2%
