#,Position,Player,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
1,F,Danilo Gallinari,Los Angeles Clippers,19,4.7%,0.7,1.1,1.429,0.3,0.4,0.7,53.8%,69.2%,0%,7.1%,7.1%,57.1%
2,F,Julius Randle,Los Angeles Lakers,68,1%,0.1,0.2,1.4,<0.1,0.1,0.1,75%,75%,0%,20%,20%,70%
3,G-F,Gerald Green,Houston Rockets,28,14.2%,1.5,2.1,1.349,0.7,0.8,1.4,52.5%,66.3%,2.3%,7%,7%,53.5%
4,G,Eric Bledsoe,Phoenix Suns,3,41.1%,7.7,9.7,1.261,3,3.3,6.3,52.6%,57.9%,8.7%,21.7%,17.4%,52.2%
5,F,Nikola Mirotic,Chicago Bulls,25,4.6%,0.7,0.8,1.235,0.3,0.2,0.6,42.9%,60.7%,5.9%,11.8%,5.9%,47.1%
6,C-F,Kelly Olynyk,Miami Heat,63,1.9%,0.2,0.3,1.231,<0.1,0.1,0.1,66.7%,77.8%,23.1%,7.7%,7.7%,53.8%
7,,Marco Belinelli,Philadelphia 76ers,13,9.5%,1,1.2,1.231,0.3,0.5,0.8,63.6%,72.7%,15.4%,0%,0%,53.8%
8,F,Jabari Parker,Milwaukee Bucks,17,15%,1.6,2,1.214,0.4,0.8,1.2,70%,72.5%,17.9%,14.3%,14.3%,60.7%
9,F,Michael Beasley,New York Knicks,62,2.7%,0.4,0.4,1.182,0.1,0.2,0.3,61.1%,63.9%,13.6%,13.6%,13.6%,54.5%
10,F-G,Kawhi Leonard,San Antonio Spurs,10,30.8%,4.4,5.1,1.159,1.4,2.1,3.5,60%,64.3%,13.6%,6.8%,6.8%,54.5%
11,G,Jeremy Lin,Brooklyn Nets,1,77.8%,14,16,1.143,5,4,9,44.4%,50%,14.3%,21.4%,7.1%,50%
12,G,Derrick White,San Antonio Spurs,16,31.3%,0.9,1.1,1.133,0.3,0.4,0.7,54.5%,68.2%,13.3%,13.3%,6.7%,53.3%
13,G,Stephen Curry,Golden State Warriors,50,25.8%,5.8,6.5,1.125,2.2,2.2,4.4,49.5%,61.8%,14.6%,10.1%,6.9%,46.9%
14,G,JJ Redick,Philadelphia 76ers,56,10.9%,1.6,1.8,1.121,0.7,0.7,1.4,47.4%,57.1%,8.8%,6.6%,5.5%,46.2%
15,G,Kyrie Irving,Boston Celtics,59,30.7%,6.8,7.5,1.102,2.5,2.9,5.5,53.9%,61.3%,14.4%,7.2%,6.7%,48.6%
16,F-C,Anthony Davis,New Orleans Pelicans,61,1.3%,0.3,0.4,1.1,0.1,0.1,0.2,38.5%,46.2%,10%,30%,25%,50%
